City,Year,Fuel Type,Transmission,Price_PKR,Mileage_km,Engine_cc,Brand,Model,Variant,Car_Age,log_price
Islamabad,2021,Petrol,Automatic,4100000.0,58000,1300.0,Honda,City,1.3 i-VTEC Prosmatec,5,15.226497775576945
Islamabad,2015,Petrol,Manual,3150000.0,142000,1300.0,Honda,City,1.3 i-VTEC,11,14.962913328262083
Karachi,2010,Petrol,Manual,1550000.0,200000,1300.0,Suzuki,Swift,DLX 1.3,16,14.253766134056512
Lahore,2012,Petrol,Manual,2150000.0,98000,1300.0,Suzuki,Swift,DLX 1.3,14,14.580978865220017
Islamabad,2025,Petrol,Automatic,5175000.0,25,1300.0,Toyota,Yaris,Sedan ATIV CVT 1.3,1,15.459350090352403
Islamabad,1999,Petrol,Manual,1050000.0,95000,1300.0,Suzuki,Baleno,GL,27,13.864301674514206
Lahore,2019,Petrol,Manual,3600000.0,90000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,7,15.096444681204078
Islamabad,2017,Petrol,Manual,2430000.0,88000,1300.0,Suzuki,Swift,DLX 1.3,9,14.70340222683928
Islamabad,2021,Petrol,Manual,4070000.0000000005,49950,1300.0,Honda,City,1.3 i-VTEC,5,15.219153803118994
Karachi,1996,Petrol,Manual,750000.0,100000,1300.0,Suzuki,Margalla,GL,30,13.527829818844937
Lahore,2006,Petrol,Manual,1580000.0,10000,1300.0,Mitsubishi,Lancer,GL,20,14.272936037914342
Islamabad,1986,CNG,Manual,580000.0,70000,1300.0,Toyota,Corolla,DX,40,13.270785106659046
Lahore,2017,Petrol,Manual,3390000.0,177000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,9,15.03634077434184
Lahore,2017,Petrol,Manual,2950000.0,89000,1300.0,Suzuki,Swift,DLX 1.3 Navigation,9,14.897316067298997
Islamabad,2019,Petrol,Manual,3950000.0,87000,1300.0,Toyota,Corolla,XLi VVTi,7,15.18922639004183
Islamabad,2011,Petrol,Manual,2430000.0,134000,1300.0,Toyota,Corolla,XLi VVTi,15,14.70340222683928
Lahore,2013,Petrol,Automatic,1750000.0,208000,1300.0,Nissan,March,,13,14.375126917328105
Lahore,2022,Petrol,Automatic,4390000.0,53000,1300.0,Toyota,Yaris,Sedan GLI CVT 1.3,4,15.29484001284176
Karachi,2015,Petrol,Manual,2675000.0,50000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,11,14.79946031214395
Islamabad,2016,Petrol,Manual,3450000.0,97890,1300.0,Toyota,Corolla,XLi VVTi,10,15.053885078862573
Lahore,2005,Petrol,Manual,675000.0,147000,1300.0,KIA,Classic,,21,13.42246945133505
Karachi,2007,Petrol,Manual,1050000.0,80000,1300.0,Suzuki,Liana,RXi,19,13.864301674514206
Lahore,2025,Petrol,Automatic,5060000.0,5,1300.0,Toyota,Yaris,Sedan GLI CVT 1.3,1,15.436877238892087
Karachi,2009,Petrol,Manual,1275000.0,99000,1300.0,Suzuki,Liana,RXi,17,14.058457520888082
Lahore,1997,Petrol,Manual,1350000.0,114000,1300.0,Toyota,Corolla,8th (E110) Generation XE,29,14.115615891155079
Lahore,2011,Petrol,Manual,2600000.0,200000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,15,14.77102238760702
Lahore,1998,Petrol,Manual,1170000.0,100000,1300.0,Honda,City,EXi,28,13.972515161474428
Karachi,2016,Petrol,Manual,2950000.0,150000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,10,14.897316067298997
Karachi,2020,Petrol,Manual,3650000.0,66000,1300.0,Toyota,Yaris,Sedan GLI MT 1.3,6,15.11023799953124
Karachi,2021,Petrol,Manual,3850000.0,40600,1300.0,Toyota,Yaris,Sedan GLI MT 1.3,5,15.163583966004193
Karachi,1998,Petrol,Manual,830000.0000000001,200000,1300.0,Honda,City,EXi,28,13.629182184591333
Karachi,2003,Petrol,Automatic,1500000.0,220000,1300.0,Toyota,IST,,23,14.220976332738882
Lahore,2007,Petrol,Automatic,2150000.0,170000,1300.0,Honda,City,i-DSI Vario,19,14.580978865220017
Lahore,2013,Petrol,Manual,2760000.0,192729,1300.0,Toyota,Corolla,GLi 1.3 VVTi,13,14.830741600012107
Karachi,2020,Petrol,Automatic,4300000.0,56000,1300.0,Toyota,Yaris,Sedan ATIV CVT 1.3,6,15.274125813221904
Lahore,2015,Petrol,Manual,2895000.0,88000,1300.0,Honda,City,1.3 i-VTEC,11,14.878496014412317
Lahore,2018,Petrol,Automatic,3745000.0000000005,84000,1300.0,Honda,City,1.3 i-VTEC Prosmatec,8,15.135932441956118
Karachi,2000,Petrol,Manual,370000.0,202034,1323.0,KIA,Classic,LX,26,12.821260987319457
Islamabad,1999,Petrol,Manual,850000.0,282000,1300.0,Suzuki,Baleno,GL,27,13.652992804936396
Islamabad,2014,Petrol,Manual,3195000.0,162000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,12,14.97709795878277
Islamabad,2004,Petrol,Manual,1000000.0,282000,1300.0,Suzuki,Baleno,,22,13.815511557963774
Karachi,2016,Petrol,Manual,2120000.0,160000,1300.0,Suzuki,Swift,DLX 1.3,10,14.566927118346197
Islamabad,2010,Petrol,Manual,2480000.0,174000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,16,14.72376952136689
Islamabad,2007,Petrol,Manual,2150000.0,146800,1300.0,Honda,City,i-DSI,19,14.580978865220017
Karachi,1984,CNG,Manual,330000.0,10000,1300.0,Honda,Civic,VTi 1.6,42,12.706850963741102
Lahore,2016,Petrol,Manual,3350000.0,156000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,10,15.024471202308668
Karachi,1995,LPG,Manual,600000.0,10000,1300.0,Suzuki,Margalla,GL,31,13.304686600863562
Karachi,2009,Petrol,Manual,2600000.0,125000,1300.0,Toyota,Corolla,XLi VVTi,17,14.77102238760702
Lahore,2006,Petrol,Manual,1814999.9999999998,255000,1300.0,Honda,City,i-DSI,20,14.411596576645124
Karachi,1982,Petrol,Manual,550000.0,100000,1300.0,Toyota,Corolla,GL,44,13.217675375388819
Lahore,2009,Petrol,Manual,2070000.0,120000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,17,14.543059648333223
Lahore,2007,Petrol,Manual,1950000.0,150000,1300.0,Honda,City,i-DSI,19,14.48334044336031
Karachi,2013,Petrol,Manual,2670000.0,133000,1300.0,Honda,City,5th (GM2) Generation Aspire 1.3 i-VTEC,13,14.797589404908198
Islamabad,1980,Petrol,Manual,900000.0,100000,1300.0,Toyota,Corolla,GL,46,13.710151153416941
Islamabad,1989,Petrol,Manual,1200000.0,120000,1300.0,Toyota,Corolla,XL,37,13.997832948091215
Karachi,2011,Petrol,Automatic,2250000.0,100300,1300.0,Toyota,Yaris,Hatchback,15,14.626441218624949
Karachi,2014,Petrol,Manual,3150000.0,140500,1300.0,Toyota,Corolla,GLi 1.3 VVTi,12,14.962913328262083
Karachi,2015,Petrol,Automatic,3660000.0,85000,1300.0,Toyota,Corolla,GLi Automatic 1.3 VVTi,11,15.112973978601556
Lahore,2008,Petrol,Manual,1900000.0,150000,1300.0,Honda,City,i-DSI,18,14.45736497045232
Islamabad,2009,Petrol,Manual,2520000.0,156000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,17,14.739769856312924
Islamabad,2003,Petrol,Manual,2050000.0,282000,1300.0,Toyota,Corolla,9th (E120) Generation GLi 1.3,23,14.53335083891935
Islamabad,2010,Petrol,Automatic,2700000.0,85000,1300.0,Toyota,Vitz,F 1.3,16,14.80876270134486
Lahore,2017,Petrol,Manual,1300000.0,98000,1300.0,FAW,V2,,9,14.077875591662238
Islamabad,2016,Petrol,Manual,3850000.0,118000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,10,15.163583966004193
Islamabad,2014,Petrol,Automatic,2980000.0,160000,1300.0,Toyota,Corolla,XLi VVTi Limited Edition,12,14.907434194052001
Islamabad,1985,Petrol,Manual,580000.0,200000,1300.0,Nissan,Sunny,,41,13.270785106659046
Karachi,2018,Petrol,Automatic,3600000.0,75000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC Prosmatec,8,15.096444681204078
Lahore,2005,Petrol,Manual,1100000.0,150000,1300.0,Suzuki,Baleno,JXR,21,13.910821646859095
Islamabad,2013,Petrol,Manual,3200000.0,150000,1300.0,Toyota,Corolla,XLi VVTi,13,14.978661680269907
Lahore,2008,Petrol,Manual,2300000.0,214907,1300.0,Toyota,Corolla,GLi 1.3,18,14.648420115681892
Karachi,2000,Petrol,Manual,1050000.0,100000,1300.0,Honda,City,EXi,26,13.864301674514206
Lahore,2014,Petrol,Manual,3350000.0,89000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,12,15.024471202308668
Karachi,2017,Petrol,Manual,3600000.0,78000,1300.0,Toyota,Corolla,XLi VVTi,9,15.096444681204078
Lahore,2014,Petrol,Manual,3050000.0,160000,1300.0,Honda,City,Aspire 1.3 i-VTEC,12,14.930652476452392
Lahore,2018,Petrol,Manual,3425000.0,94000,1300.0,Honda,City,1.3 i-VTEC,8,15.046612321649222
Karachi,1983,Petrol,Manual,600000.0,142300,1300.0,Toyota,Corolla,DX Saloon,43,13.304686600863562
Karachi,2017,Petrol,Automatic,2350000.0,80000,1300.0,Suzuki,Swift,DLX Automatic 1.3 Navigation,9,14.669926311652166
Lahore,2007,Petrol,Manual,2150000.0,185000,1300.0,Honda,City,i-DSI,19,14.580978865220017
Karachi,2011,Petrol,Manual,2300000.0,160000,1300.0,Toyota,Corolla,XLi VVTi,15,14.648420115681892
Islamabad,2007,Petrol,Manual,2450000.0,250000,1300.0,Toyota,Corolla,GLi 1.3,19,14.711598990684092
Karachi,2019,Petrol,Automatic,3000000.0,37000,1300.0,Suzuki,Swift,DLX Automatic 1.3 Navigation,7,14.914123179965662
Karachi,2012,Petrol,Automatic,2650000.0,115000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC Prosmatec,14,14.790070575320824
Karachi,2016,Petrol,Manual,3479999.9999999995,80000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,10,15.062543139106937
Lahore,2010,Petrol,Manual,2250000.0,137000,1300.0,Toyota,Corolla,XLi VVTi,16,14.626441218624949
Karachi,2012,Petrol,Manual,3200000.0,97000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,14,14.978661680269907
Islamabad,2019,Petrol,Manual,4335000.0,122875,1300.0,Toyota,Corolla,GLi 1.3 VVTi,7,15.28223239887726
Lahore,2021,Petrol,Automatic,3325000.0,63600,1300.0,Suzuki,Swift,DLX Automatic 1.3 Navigation,5,15.016980532823926
Karachi,2000,Petrol,Manual,1000000.0,282000,1300.0,Honda,City,EXi,26,13.815511557963774
Karachi,2018,Petrol,Automatic,4000000.0,22000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC Prosmatec,8,15.201805169084134
Karachi,2019,Petrol,Manual,4700000.0,85000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,7,15.363073279446223
Karachi,2011,Petrol,Manual,1950000.0,126000,1300.0,Suzuki,Swift,DLX 1.3,15,14.48334044336031
Islamabad,2004,Petrol,Manual,1825000.0,231000,1300.0,Mitsubishi,Lancer,GL,22,14.417091092943783
Karachi,2007,Hybrid,Automatic,2500000.0,112222,1300.0,Honda,Civic,Reborn MX (Hybrid),19,14.731801689838349
Islamabad,1995,Petrol,Manual,670000.0,105324,1300.0,Suzuki,Margalla,GL,31,13.415034483903348
Lahore,2004,Petrol,Manual,1720000.0,282000,1300.0,Honda,City,i-DSI,22,14.357835430184815
Karachi,1986,Petrol,Manual,500000.0,200000,1300.0,Toyota,Corolla,DX Saloon,40,13.122365377402328
Islamabad,2017,Petrol,Manual,4450000.0,70000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,9,15.308414878861498
Islamabad,2001,Petrol,Manual,1695000.0,129000,1300.0,Toyota,Corolla,8th (E110) Generation XE,25,14.343193888767015
Karachi,2010,Petrol,Manual,2330000.0,110000,1300.0,Honda,City,1.3 i-VTEC,16,14.66137925472634
Islamabad,2010,Petrol,Manual,2225000.0,190000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,16,14.615267923020578
Karachi,2016,Petrol,Manual,3750000.0,65000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,10,15.137266664613225
Lahore,2005,Petrol,Manual,1125000.0,200000,1300.0,Suzuki,Baleno,JXR,21,13.933294482509151
Lahore,2013,Petrol,Manual,2100000.0,144000,1300.0,Suzuki,Swift,DLX 1.3,13,14.557448378884015
Karachi,2015,Petrol,Automatic,3300000.0,85000,1300.0,Toyota,Corolla,GLi Automatic 1.3 VVTi,11,15.009433329466965
Lahore,2017,Petrol,Manual,3500000.0,93000,1300.0,Honda,City,1.3 i-VTEC,9,15.068273812173887
Lahore,2003,Petrol,Manual,1295000.0,48000,1300.0,Honda,City,EXi,23,14.07402202531625
Karachi,1993,LPG,Manual,400000.0,100000,1300.0,Hyundai,Excel,,33,12.899222326086994
Islamabad,2011,Petrol,Manual,2700000.0,156000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,15,14.80876270134486
Lahore,2015,Petrol,Automatic,3750000.0,164000,1300.0,Toyota,Corolla,GLi Automatic 1.3 VVTi,11,15.137266664613225
Karachi,2014,Petrol,Manual,2850000.0,123500,1300.0,Toyota,Corolla,XLi VVTi Limited Edition,12,14.862829903121964
Lahore,2015,Petrol,Manual,3650000.0,149000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,11,15.11023799953124
Islamabad,2007,Petrol,Automatic,2075000.0,185000,1300.0,Nissan,AD,Van 1.3 GX,19,14.54547219357453
Lahore,2015,Petrol,Manual,2760000.0,190000,1300.0,Toyota,Corolla,XLi VVTi,11,14.830741600012107
Islamabad,2010,Petrol,Manual,3240000.0,135000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,16,14.99108419641044
Lahore,2014,Petrol,Manual,2750000.0,165000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,12,14.827111833279051
Karachi,2010,Petrol,Manual,2700000.0,190000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,16,14.80876270134486
Karachi,1993,Petrol,Manual,1425000.0,75000,1300.0,Toyota,Corolla,LX Limited 1.3,33,14.169683073439028
